partnerName,partnerId,partnerShortName
Korea Advanced Institute of Science and Technology(KAIST),178,kaist
Check Point Software Technologies Ltd.,636,checkpoint
Capitals Coalition,994,capitalscoalition
DeepLearning.AI,475,deeplearning-ai
The University of North Carolina at Chapel Hill,77,unc
Pathstream,784,pathstream
University of Arizona,222,arizona
The George Washington University,331,gwu
Intel,450,intel
Ismart,316,ismart
Japan Deep Learning Association,856,japan-deep-learning-association
The Linux Foundation,498,linuxfoundation
University of Michigan,3,umich
Morehouse College,703,morehouse
4EU+ Alliance,934,4eu
Case Western Reserve University,68,casewesternreserve
Kilimanjaro Christian Medical University College,245,kcmuc
Universiteit Leiden,25,leiden
University of Pennsylvania,6,penn
ROI Training,709,roitraining
High Tech High Graduate School of Education,251,hightechhigh
Institut Mines-Télécom,297,imt
Università di Napoli Federico II,619,unina
Match Teacher Residency,105,mtr
UCL Institute of Education,299,uclioe
Institute for the Future,524,iftf
University of Milan,193,unimi
New York Institute of Finance,499,nyif
Unity,482,unity
Northeastern University ,517,northeastern
Yad Vashem ,262,yadvashem
Automation Anywhere,568,automation-anywhere
Voxy,785,voxy
University of Geneva,49,unige
Radio y Televisión Española,745,rtve
Yale University,109,yale
University of Minnesota,50,minnesota
University of Leeds,459,leeds
NIIT StackRoute,836,niit
EDHEC Business School,518,edhec
云林科技大学 (Yunlin University of Science and Technology),298,yunlin
Exploratorium,108,exploratorium
Unicef,451,unicef
Google,463,google
Georgia Institute of Technology,9,gatech
Icahn School of Medicine at Mount Sinai,27,ismms
Autodesk,470,autodesk
Alberta Machine Intelligence Institute,556,amii
JetBrains,523,jetbrains
University of Nebraska,124,nebraska
Kalshoven-Gieskes Forum,533,kalshoven-gieskes-forum
Cloudera,487,cloudera
University of Groningen,832,rug
Codio,788,codio
ISAE-SUPAERO,682,isae-supaero
ESSEC Business School,223,essec
West Virginia University,116,wvu
University of Colorado System,126,cusystem
University of Copenhagen,63,ucph
Oracle,924,oracle
Universidade Estadual de Campinas,208,unicamp
Northwestern University,54,northwestern
Instituto Tecnológico de Aeronáutica,252,ita
Red Hat,697,redhat
Politecnico di Milano,405,polimi
GitLab,672,gitlab
African Local Government Academy,488,african-local-government-academy
SV Academy,649,sv-academy
Banco Interamericano de Desarrollo,825,iadb
University of California San Diego,53,ucsd
University of Amsterdam,131,amsterdam
"Goldsmiths, University of London",303,goldsmiths
École Polytechnique,66,ep
Infosec,692,infosecinstitute
Amazon Web Services,338,aws
Yunus Social Business Fund Bengaluru,728,ysbfb
上海戏剧学院,341,sta
Berklee College of Music,21,berklee
"University of California, Davis",83,ucdavis
Tel Aviv University,110,telaviv
IW:LEARN,540,iw-learn
École Polytechnique Fédérale de Lausanne,16,epfl
Michigan State University,228,michstate
Caltech,12,caltech
MongoDB Inc.,460,mongodb
MathWorks,554,mathworks
Enviolo,1148,enviolo
"Automatic Data Processing, Inc.",1120,adp
Association of International Certified Professional Accountants,546,aicpa
The Hong Kong University of Science and Technology,35,hkust
Intuit,718,intuit
Eindhoven University of Technology,177,tue
Fudan University,188,fudan
Institute of Certified Professional Managers,647,icpm
CORE ,1158,core
Abdul Latif Jameel Institute for Disease and Emergency Analytics (J-IDEA),630,j-idea
Fundação Instituto de Administração,376,fia
Erasmus University Rotterdam,244,erasmus
Digital Marketing Institute,717,dmi
Universidad de Chile,280,uchile
University of Manchester   ,147,manchester
Queen Mary University of London,776,qmul
Indian School of Business,215,isb
Foreducation,317,foreducation
Fundação Telefônica,319,fundacaotelefonica
Copenhagen Business School,175,cbs
H2O,469,h2o
University College London,1157,ucl
Universidad Nacional de Colombia,675,unal
"Birkbeck, University of London",349,birkbeck
Technical University of Denmark (DTU),57,dtu
Commonwealth Education Trust,106,cet1886
VMware,500,vmware
BCG,345,bcg
Google - Spectrum Sharing,550,google-cbrs
National Technical University of Athens,506,ntua
Dartmouth College,777,dartmouth
Centre for Global Heritage and Development,466,centre-global-heritage-development
Goldman Sachs,289,goldmansachs
University of the Arts The Hague,419,hogeschoolderkunsten
IESE Business School,172,iese
Google for Education,318,googleedu
Howard Hughes Medical Institute ,497,howard-hughes-medical-institute
University of Florida,31,ufl
真格基金,340,zhenfund
Tencent Cloud,848,tencent
Bloomsbury Learning Exchange,439,ble
Campus BBVA,992,campusbbva
Coursera - DELETE,652,coursera-delete
Universitat Pompeu Fabra of Barcelona,225,upf
CentraleSupélec,128,ecp
Universidad de los Andes,273,uniandes
Universidad Austral,350,austral
EC-Council,868,eccouncil
SOAS University of London,302,soasuol
Vanderbilt University,37,vanderbilt
Atlassian,457,atlassian
UiT The Arctic University of Norway,771,uit
LDE Centre for Safety and Security,495,centre-for-safety-and-security
University of Coimbra,1011,university-of-coimbra
Palo Alto Networks,509,palo-alto-networks
Xi'an Jiaotong University,234,xjtu
IEEE Geoscience and Remote Sensing Society,759,grss
Danish Red Cross,1016,danish-red-cross
Tsinghua University,528,tsinghua
National Arts Strategies,227,nas
The Pennsylvania State University,51,psu
Talend,946,talend
University of Science and Technology of China,233,ustc
University System of Georgia,123,usg
Université de Montréal,548,universite-de-montreal
Universitat de Barcelona,212,ub
Indian Institute for Human Settlements,560,iihs
Universidad de Palermo,658,palermo
University of Washington,15,uw
University of Alberta,146,ualberta
University of Virginia Darden School Foundation,1004,darden
Naturalis Biodiversity Center,429,naturalis
Qualcomm Wireless Academy,940,qualcomm-wireless-academy
Institute for Housing and Urban Development ,491,housing-and-urban-development
"Parsons School of Design, The New School",733,parsons
University of Virginia,18,uva
University of Pittsburgh,36,pitt
Princeton University,4,princeton
University of Toronto,11,utoronto
Carnegie Mellon University,151,cmu
University of Glasgow ,555,glasgow
Juniper Networks,857,juniper
Nanjing University,230,nanjing
UNESCO-IOC,539,unesco
Ghent University,507,ugent
Wesleyan University,34,wesleyan
University of Colorado Boulder,71,boulder
Duke University,7,duke
IE School of Architecture & Design,432,iearch
Karlsruhe Institute of Technology,570,kit
Imperial College London,434,imperial
The University of Melbourne,33,unimelb
University of Warsaw,929,uwarsaw
London Business School,170,lbs
HEC Paris,161,hec
UCL School of Management,490,ucl-management
University of Lausanne,159,unil
Fundació Navegació Oceànica Barcelona,452,fnob
Koç University,182,koc
The University of Edinburgh,14,edinburgh
Technische Universität München (TUM),78,tum
Yeshiva University,265,yeshiva
Creative Time ,304,creativetime
SoFi,752,sofi
CFA Institute,888,cfainstitute
Università Bocconi,157,bocconi
Johns Hopkins University,8,jhu
Edge Impulse,748,edgeimpulse
Elos Educacional,320,eloseducacional
"Royal Holloway, University of London",337,royalholloway
Hebrew University of Jerusalem,24,huji
Laureate Education,137,laureate
"University of California, Irvine",30,uci
University of Heidelberg,931,uheidelberg
Emory University,23,emory
École des Ponts ParisTech,271,enpc
Databricks,671,databricks
Ticket for Change,333,ticketforchange
Universidad Autónoma Metropolitana,643,uam
University of Rochester,60,rochester
Alfaisal University | KLD,1027,au
United Cities and Local Governments of Africa,489,united-cities-and-local-governments-of-africa
Sorbonne University,932,sorbonne
IBM,348,ibm
National Academy of Sports Medicine,767,nasm
California Institute of the Arts,59,calarts
Macquarie University,254,macquarie
EIT Digital ,253,eitdigital
(ISC)²,472,isc2
National Oceanic and Atmospheric Administration (NOAA),538,noaa
Oxfam,547,oxfam
Charles University,933,charles-university
Relay Graduate School of Education,104,relay
Universidad ORT Uruguay,250,orturuguay
Universidade de São Paulo,221,usp
Ludwig-Maximilians-Universität München (LMU),64,lmu
"University of California, Santa Cruz",56,ucsc
University of London,26,london
The University of Hong Kong,235,hku
Alibaba Cloud Academy,627,alibaba
Peking University,163,pku
The World Bank Group,73,worldbank
Coursera Project Network,565,project-network
Insper,277,insper
Universitat Autònoma de Barcelona,80,uab
United Nations Development Programme (UNDP-The GEF),263,undpgef
IE Business School,61,ie
VITO,504,vito
Interactive Brokers,716,ibkr
Brightline Initiative,514,brightline
上海中医药大学,284,shutcm
SAS,520,sas
Shanghai Jiao Tong University,150,sjtu
Reference Centre for Psychosocial Support,1017,ps-centre
Pontificia Universidad Católica del Perú,852,pucp
National Taiwan University,75,taiwan
Technion - Israel Institute of Technology,129,technion
Columbia University,40,columbia
The University of Tokyo,76,utokyo
Sciences Po,210,sciencespo
Pohang University of Science and Technology,430,postech
New Teacher Center,103,ntc
"Aruba, a Hewlett Packard Enterprise company",787,aruba
American Museum of Natural History,100,amnh
Advancing Women in Tech,575,awit
Curtis Institute of Music,79,curtis
University of Cape Town,255,uct
Rice University,13,rice
Microsoft,705,microsoft
The Museum of Modern Art,107,moma
University of Houston,119,uh
Arizona State University,287,asu
Global Environment Facility (GEF),537,thegef
University of Illinois at Urbana-Champaign,17,illinois
Sungkyunkwan University,668,skku
Banco Interamericano de Desarrollo,467,international-development-bank
Meta,641,meta
National University of Singapore,47,nus
The University of Chicago,102,chicago
Geological Survey of Denmark and Greenland,505,geus
HubSpot Academy,485,hubspot-academy
PwC,329,pwc
ConsenSys Academy,511,consensys
Drexel University,453,drexel-university
Utrecht University,270,utrecht
University of Kentucky,127,uk
École normale supérieure,130,ens
Big Interview,772,biginterview
Lund University,199,lunduniversity
Meertens instituut (KNAW),354,knaw
The State University of New York,117,suny
CertNexus,639,certnexus
McMaster University,148,mcmaster
UNSW Sydney (The University of New South Wales),155,unsw
The Chinese University of Hong Kong,45,cuhk
New York University,309,nyu
Blue Prism,789,blueprism
UiPath,876,uipath
EIT RawMaterials,535,eit-rawmaterials
Pontificia Universidad Católica de Chile,190,ucchile
Fundação Lemann,224,lemann
Tufts University,551,tufts
Universidad Politécnica de Madrid,1010,universidad-politecnica-madrid
CONTEXT University [Testing],248,contextuniversity
INSEAD,72,insead
University of Zurich,93,zurich
Anaplan,820,anaplan
 EIT Urban Mobility,770,eiturbanmobility
LearnQuest,527,learnquest
Luris,486,luris
Leiden University Medical Center,328,leidenmed
Instituto Península ,314,institutopeninsula
The University of British Columbia,29,ubc
Google AR & VR,481,googlearvr
Sapienza University of Rome,74,sapienza
EIT Health,833,eithealth
Salesforce,695,salesforce
Osmosis,633,osmosis
Google Cloud,443,googlecloud
Delft University of Technology,508,tu-delft
Silicon Schools Fund,162,siliconschools
USO,529,uso
Splunk Inc.,987,splunk
emlyon business school,286,emlyon
ESADE Business and Law School,282,esade
Stanford University,1,stanford
ESCP Business School,207,escpeurope
University of North Texas,559,unt
Clayton Christensen Institute,164,christenseninstitute
University of Oslo,201,uio
University of Iceland,1057,iceland
Berlin University of the Arts,512,udk-berlin
Yonsei University,220,yonsei
Universidad Nacional Autónoma de México,58,unam
University at Buffalo,458,ubuffalo
Tecnológico de Monterrey,62,tecdemonterrey
UBITS,715,ubits
Instituto Natura,315,institutonatura
United Nations Environment Programme,541,unep
Deep Teaching Solutions,783,oakley
"UVA Lifetime Learning, Patrick Henry Memorial Foundation",471,uva-lifetime
Knowledge Accelerators,840,knowledgeaccelerators
4TU.Ethics,851,4tu
University of Western Australia,156,uwa
University of New Mexico,120,newmexico
North Carolina State University,441,ncsu
Rutgers the State University of New Jersey,67,rutgers
Université libre de Bruxelles,549,universite-libre-de-bruxelles
"University of Maryland, College Park",32,umd
"Nanyang Technological University, Singapore",121,ntu
The University of Sydney,264,sydney
